chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AAPL,2021-01-22,125.0000,call,buy,2020-12-23T17:15:20.611773Z,debit,2.00000,limit,long_call_spread,,0.73000000,2.00000
AAPL,2021-01-22,126.0000,call,sell,2020-12-23T17:15:20.611773Z,debit,2.00000,limit,long_call_spread,,0.73000000,2.00000
FB,2021-01-15,280.0000,call,sell,2020-12-23T17:09:07.190722Z,credit,1.00000,limit,,long_call,5.10000000,1.00000
FB,2021-01-15,280.0000,call,sell,2020-12-23T17:08:34.886767Z,credit,1.00000,limit,,long_call,5.10000000,1.00000
FB,2021-01-15,280.0000,call,buy,2020-12-23T17:07:14.416609Z,debit,1.00000,limit,long_call,,5.15000000,1.00000
NVDA,2020-12-24,532.5000,call,buy,2020-12-23T16:55:01.469623Z,debit,1.00000,limit,long_call,,1.02000000,1.00000
SFIX,2020-12-24,68.0000,put,sell,2020-12-23T16:23:39.045539Z,credit,2.00000,limit,,long_put,0.35000000,2.00000
SFIX,2020-12-24,68.0000,put,buy,2020-12-23T16:21:35.066202Z,debit,1.00000,limit,long_put,,0.47000000,1.00000
ROKU,2020-12-24,380.0000,call,buy,2020-12-23T16:07:37.071342Z,debit,1.00000,limit,long_call,,0.34000000,1.00000
PLUG,2020-12-31,38.0000,call,buy,2020-12-23T15:47:34.480688Z,debit,1.00000,limit,long_call,,1.00000000,1.00000
PLUG,2020-12-31,38.0000,call,sell,2020-12-23T15:30:23.772616Z,credit,1.00000,limit,,long_call,1.21000000,1.00000
SFIX,2020-12-24,68.0000,put,buy,2020-12-23T15:24:52.373280Z,debit,1.00000,limit,long_put,,0.97000000,1.00000
BA,2020-12-31,220.0000,call,sell,2020-12-23T15:01:15.083468Z,credit,1.00000,limit,,long_call_spread,1.30000000,1.00000
BA,2020-12-31,222.5000,call,buy,2020-12-23T15:01:15.083468Z,credit,1.00000,limit,,long_call_spread,1.30000000,1.00000
PLUG,2020-12-31,38.0000,call,buy,2020-12-23T14:51:23.827766Z,debit,1.00000,limit,long_call,,1.12000000,1.00000
ZM,2020-12-31,445.0000,call,sell,2020-12-23T14:35:38.682179Z,credit,1.00000,limit,,long_call_spread,0.10000000,1.00000
ZM,2020-12-31,450.0000,call,buy,2020-12-23T14:35:38.682179Z,credit,1.00000,limit,,long_call_spread,0.10000000,1.00000
RKT,2021-01-15,22.0000,call,sell,2020-12-23T14:31:59.441191Z,credit,1.00000,limit,,long_call,1.20000000,1.00000
FB,2021-01-15,280.0000,call,buy,2020-12-22T19:05:50.588808Z,debit,1.00000,limit,long_call,,5.00000000,1.00000
AAPL,2021-01-22,126.0000,call,sell,2020-12-22T16:49:29.416874Z,debit,1.00000,limit,long_call_spread,,0.70000000,1.00000
AAPL,2021-01-22,125.0000,call,buy,2020-12-22T16:49:29.416874Z,debit,1.00000,limit,long_call_spread,,0.70000000,1.00000
PLTR,2020-12-24,30.0000,call,sell,2020-12-22T16:36:34.362903Z,credit,1.00000,limit,,long_call,0.19000000,1.00000
TSLA,2020-12-31,660.0000,call,buy,2020-12-22T16:36:04.596816Z,credit,1.00000,limit,,long_call_spread,1.23000000,1.00000
TSLA,2020-12-31,655.0000,call,sell,2020-12-22T16:36:04.596816Z,credit,1.00000,limit,,long_call_spread,1.23000000,1.00000
FB,2020-12-24,280.0000,call,sell,2020-12-22T16:35:17.863123Z,credit,1.00000,limit,,long_call,0.18000000,1.00000
TSLA,2020-12-31,660.0000,call,sell,2020-12-22T16:20:14.096900Z,debit,1.00000,limit,long_call_spread,,1.48000000,1.00000
TSLA,2020-12-31,655.0000,call,buy,2020-12-22T16:20:14.096900Z,debit,1.00000,limit,long_call_spread,,1.48000000,1.00000
SPY,2021-01-06,370.0000,call,buy,2020-12-22T16:05:12.789278Z,credit,1.00000,limit,,long_call_spread,0.56000000,1.00000
SPY,2021-01-06,369.0000,call,sell,2020-12-22T16:05:12.789278Z,credit,1.00000,limit,,long_call_spread,0.56000000,1.00000
BABA,2021-01-15,280.0000,call,buy,2020-12-22T15:28:14.573094Z,debit,1.00000,limit,long_call,,2.14000000,1.00000
FB,2020-12-24,280.0000,call,sell,2020-12-22T15:21:43.816546Z,credit,1.00000,limit,,long_call,0.32000000,1.00000
FB,2020-12-31,272.5000,call,sell,2020-12-22T15:18:49.794195Z,credit,1.00000,limit,,long_call,4.05000000,1.00000
AAPL,2020-12-24,133.0000,put,sell,2020-12-22T15:17:54.150302Z,credit,2.00000,limit,,long_put,1.35000000,2.00000
